"serialNumber (S)","unixTimeStamp (N)","deviceLat (N)","deviceLon (N)","deviceMos (N)","deviceTemp (N)"
"SN-5996","1604032209053","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032208944","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032203630","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032203628","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032198623","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032198621","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032193528","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032193523","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032188342","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032188323","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032183366","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032183334","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032178654","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604032178622","-31.9663","115.8892","3.13","26.12"
"SN-5996","1604010561516","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010561515","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010556559","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010556556","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010551585","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010551582","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010546070","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010546068","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010540903","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010540859","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010535773","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010535770","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010531109","-31.9663","115.8892","2.97","20.34"
"SN-5996","1604010531104","-31.9663","115.8892","2.97","20.34"
"SN-5996","1603988913590","-31.9663","115.8892","3","22.25"
"SN-5996","1603988913575","-31.9663","115.8892","3","22.25"
"SN-5996","1603988908534","-31.9663","115.8892","3","22.25"
"SN-5996","1603988908528","-31.9663","115.8892","3","22.25"
"SN-5996","1603988903406","-31.9663","115.8892","3","22.25"
"SN-5996","1603988903360","-31.9663","115.8892","3","22.25"
"SN-5996","1603988898556","-31.9663","115.8892","3","22.25"
"SN-5996","1603988898547","-31.9663","115.8892","3","22.25"
"SN-5996","1603988893223","-31.9663","115.8892","3","22.25"
"SN-5996","1603988893203","-31.9663","115.8892","3","22.25"
"SN-5996","1603988888269","-31.9663","115.8892","3","22.25"
"SN-5996","1603988888251","-31.9663","115.8892","3","22.25"
"SN-5996","1603988883490","-31.9663","115.8892","3","22.25"
"SN-5996","1603988883479","-31.9663","115.8892","3","22.25"
"SN-5996","1603967266169","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967266160","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967261052","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967260943","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967255815","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967255814","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967250728","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967250725","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967245993","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967245977","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967240417","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967240390","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967235837","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603967235777","-31.9663","115.8892","3.28","26.12"
"SN-5996","1603945618465","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945618460","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945613310","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945613308","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945608173","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945608157","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945603070","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945603026","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945597834","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945597820","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945592733","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945592730","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945588144","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603945588110","-31.9663","115.8892","3.75","25.29"
"SN-5996","1603923970728","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923970713","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923965505","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923965504","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923960398","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923960386","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923955276","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923955263","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923950128","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923950111","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923944976","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923944967","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923940399","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603923940381","-31.9663","115.8892","3.52","19.71"
"SN-5996","1603902322797","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603902322794","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603902317847","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603902317822","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603902312618","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603902312585","-31.9663","115.8892","3.75","21.47"
