"serialNumber (S)","unixTimeStamp (N)","deviceLat (N)","deviceLon (N)","deviceMos (N)","deviceTemp (N)"
"SN-5996","1603902307549","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603902307532","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603902302472","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603902302471","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603902297240","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603902297234","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603902292624","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603902292601","-31.9663","115.8892","3.75","21.47"
"SN-5996","1603880675205","-31.9663","115.8892","4.03","25.49"
"SN-5996","1603880675194","-31.9663","115.8892","4.03","25.49"
